579,Silver,01/01/2017,07/01/2017,123002578,220101400106,2,92.6,20.7
47727,Silver,03/01/2017,03/01/2017,123014746,220101400061,2,102.0,23.3
29040,Gold,08/01/2017,12/01/2017,123042658,240500100062,1,54.6,23.85
51203,Silver,09/01/2017,11/01/2017,123046800,210200500010,1,100.6,43.45
36236,Silver,10/01/2017,10/01/2017,123054070,220200100098,1,120.7,66.5
21511,Silver,11/01/2017,11/01/2017,123057405,220200300129,2,162.4,37.05
78695,Gold,14/01/2017,19/01/2017,123072435,240400200097,1,416.8,124.2
41432,Silver,15/01/2017,15/01/2017,123077465,230100100013,2,226.2,58.9
35622,Gold,18/01/2017,18/01/2017,123094619,220200200025,2,143.0,31.65
63325,Gold,18/01/2017,18/01/2017,123094116,240500100004,2,127.0,28.0
78173,Gold,20/01/2017,22/01/2017,123004918,240500200009,1,14.1,5.95
54979,Silver,22/01/2017,22/01/2017,123015379,240500200083,1,67.3,28.0
54223,Silver,24/01/2017,24/01/2017,123029951,240700400013,1,68.2,35.55
7302,Silver,29/01/2017,30/01/2017,123055919,240300300029,2,84.6,18.2
90380,Gold,02/02/2017,02/02/2017,123078127,220200200050,1,107.5,53.85
52686,Silver,04/02/2017,05/02/2017,123091977,240700200025,1,14.6,6.2
26263,Silver,05/02/2017,05/02/2017,123093677,230100600021,1,84.2,42.2
10175,Gold,06/02/2017,06/02/2017,123000664,220100800040,1,111.5,53.05
36459,Silver,12/02/2017,12/02/2017,123031238,240400300026,2,185.4,40.3
39025,Silver,16/02/2017,18/02/2017,123055929,210200300073,1,13.7,6.9
18576,Silver,17/02/2017,21/02/2017,123060926,230100500087,1,91.1,37.95
24743,Gold,20/02/2017,02/03/2017,123081428,230100400007,2,24.4,4.9
75360,Silver,21/02/2017,25/02/2017,123084360,210200600092,1,6.9,2.8
81409,Gold,21/02/2017,23/02/2017,123086549,220101400093,1,40.3,18.35
14027,Silver,02/03/2017,02/03/2017,123031030,220100500003,1,97.7,43.05
75985,Gold,04/03/2017,04/03/2017,123043932,220200100098,2,241.4,66.5
93321,Gold,07/03/2017,12/03/2017,123059504,240200200023,1,59.8,6.0
8385,Silver,10/03/2017,10/03/2017,123074369,210200400076,1,60.1,30.15
12036,Gold,12/03/2017,17/03/2017,123088088,240500100027,2,91.0,20.2
10286,Silver,14/03/2017,14/03/2017,123096452,240400200091,1,217.0,90.4
85830,Silver,14/03/2017,14/03/2017,123096144,230100600022,1,84.1,42.15
